ID number,Chart Date ,Latitude,Longitude,Category,Pressure
2022202301,2022060700,36.2,-58.1,DHF,996
2022202301,2022060706,39.4,-53.4,DHF,991
2022202301,2022060712,41.4,-50.3,DHF,977
2022202301,2022060718,42.8,-47,HF,975
2022202301,2022060800,43.9,-43.3,HF,980
2022202301,2022060806,46.1,-38.9,S,981
2022202302,2022091100,43.6,-52.8,HF,966
2022202302,2022091106,43.8,-51.6,S,968
2022202303,2022092406,45.1,-61.1,HF,933
2022202303,2022092412,46.8,-61.5,HF,940
2022202303,2022092418,47.8,-60.9,HF,952
2022202303,2022092500,48.9,-60,S,960
2022202304,2022110318,48.9,-35,HF,951
2022202304,2022110400,52.7,-38.1,HF,947
2022202304,2022110406,54.9,-37.4,HF,936
2022202304,2022110412,56,-37.1,HF,932
2022202304,2022110418,56.2,-36.1,HF,939
2022202304,2022110500,56.2,-34.2,S,950
2022202305,2022111312,58,-34.9,DHF,960
2022202305,2022111318,58.3,-35.9,HF,958
2022202305,2022011400,58.1,-36.1,HF,960
2022202305,2022011406,57.5,-36.1,S,963
2022202306,2022112200,52,-45.9,DHF,962
2022202306,2022112206,50.9,-39.2,HF,964
2022202306,2022112212,51.9,-33.1,HF,964
2022202306,2022112218,52.8,-28.6,S,964
